"term","M15","M9","M16","M11","M4","M12","M14","M7","M8","M5","M13","M10","M2","M1","M6","M3"
"Sexo","","","X","","","X","X","X","X","","X","","X","","X",""
"Idade","X","X","X","","","X","","","","","X","X","","","X","X"
"Escolaridade","X","X","X","X","X","X","X","X","","","","","","","",""
"Cor/raça","X","","X","X","","","X","","X","X","X","X","","","",""
"Intercepto","0.26
(0.24)","0.37
(0.23)","0.22
(0.25)","0.56**
(0.22)","0.64**
(0.21)","0.34
(0.24)","0.52*
(0.22)","0.61**
(0.22)","-0.87***
(0.11)","-0.79***
(0.10)","-1.06***
(0.14)","-0.98***
(0.13)","-0.72***
(0.10)","-0.64***
(0.08)","-0.89***
(0.12)","-0.81***
(0.11)"
"Sexo: Mulher","","","0.07
(0.10)","","","0.06
(0.10)","0.07
(0.10)","0.06
(0.10)","0.16
(0.10)","","0.16.
(0.10)","","0.15
(0.10)","","0.16
(0.10)",""
"Idade: 25-34","0.38**
(0.14)","0.37**
(0.14)","0.38**
(0.14)","","","0.37**
(0.14)","","","","","0.29*
(0.14)","0.29*
(0.14)","","","0.27*
(0.14)","0.27*
(0.14)"
"Idade: 35-44","0.35*
(0.15)","0.34*
(0.15)","0.35*
(0.15)","","","0.34*
(0.15)","","","","","0.27.
(0.15)","0.26.
(0.14)","","","0.25.
(0.14)","0.24.
(0.14)"
"Idade: 45-59","0.32*
(0.14)","0.30*
(0.14)","0.32*
(0.14)","","","0.30*
(0.14)","","","","","0.26.
(0.14)","0.26.
(0.14)","","","0.22.
(0.13)","0.22.
(0.13)"
"Idade: 60+","0.40
(0.26)","0.34
(0.26)","0.41
(0.26)","","","0.34
(0.26)","","","","","0.19
(0.25)","0.17
(0.25)","","","0.09
(0.25)","0.08
(0.25)"
"Escolaridade: Médio","-0.83***
(0.21)","-0.80***
(0.21)","-0.82***
(0.21)","-0.89***
(0.21)","-0.86***
(0.21)","-0.80***
(0.21)","-0.89***
(0.21)","-0.86***
(0.21)","","","","","","","",""
"Escolaridade: Superior","-1.81***
(0.21)","-1.79***
(0.21)","-1.80***
(0.21)","-1.82***
(0.21)","-1.81***
(0.21)","-1.78***
(0.21)","-1.82***
(0.21)","-1.80***
(0.21)","","","","","","","",""
"Cor/raça: Preta","0.05
(0.17)","","0.05
(0.17)","0.01
(0.17)","","","0.01
(0.17)","","0.10
(0.17)","0.11
(0.17)","0.13
(0.17)","0.13
(0.17)","","","",""
"Cor/raça: Parda","0.27*
(0.11)","","0.27*
(0.11)","0.24*
(0.11)","","","0.24*
(0.11)","","0.31**
(0.11)","0.30**
(0.11)","0.32**
(0.11)","0.32**
(0.11)","","","",""
"Cor/raça: Outras","-0.24
(0.28)","","-0.24
(0.28)","-0.23
(0.28)","","","-0.22
(0.28)","","-0.08
(0.26)","-0.08
(0.26)","-0.09
(0.27)","-0.10
(0.27)","","","",""
"AIC","2381","2382","2382","2382","2383","2384","2384","2385","2509","2510","2511","2512","2512","2512","2515","2515"
"BIC","2442","2427","2449","2421","2405","2434","2429","2413","2543","2538","2567","2562","2529","2524","2554","2549"
"N","1975","1975","1975","1975","1975","1975","1975","1975","1975","1975","1975","1975","1975","1975","1975","1975"
