"modelo","variaveis","AIC","BIC","logLik","n"
"M15","idade + escolaridade + cor_raca",2380.51601248508,2441.98757293577,-1179.25800624254,1975
"M9","idade + escolaridade",2382.05560640144,2426.76219582012,-1183.02780320072,1975
"M16","sexo + idade + escolaridade + cor_raca",2382.06034334083,2449.12022746885,-1179.03017167041,1975
"M11","escolaridade + cor_raca",2382.30833460704,2421.42660034839,-1184.15416730352,1975
"M4","escolaridade",2383.02463607014,2405.37793077948,-1187.51231803507,1975
"M12","sexo + idade + escolaridade",2383.6668370852,2433.96175018121,-1182.8334185426,1975
"M14","sexo + escolaridade + cor_raca",2383.88763421128,2428.59422362996,-1183.94381710564,1975
"M7","sexo + escolaridade",2384.67003451035,2412.61165289703,-1187.33501725518,1975
"M8","sexo + cor_raca",2509.1129264965,2542.64286856051,-1248.55646324825,1975
"M5","cor_raca",2509.78229950501,2537.72391789169,-1249.89114975251,1975
"M13","sexo + idade + cor_raca",2511.11667872586,2566.99991549921,-1245.55833936293,1975
"M10","idade + cor_raca",2511.85275789527,2562.14767099128,-1246.92637894763,1975
"M2","sexo",2511.88459086322,2528.64956189522,-1252.94229543161,1975
"M1","(nulo)",2512.42806228542,2523.60470964009,-1254.21403114271,1975
"M6","sexo + idade",2514.57873680141,2553.69700254276,-1250.2893684007,1975
"M3","idade",2515.17646355856,2548.70640562257,-1251.58823177928,1975
