"uf","pct_contra_aborto"
"PB",59.4054952056325
"AL",58.4659525244149
"MG",56.1521894055666
"MA",55.3985028093422
"RO",55.1145809609838
"PI",54.788498426269
"RN",54.7676796865381
"SE",54.5871158743606
"CE",54.240466666406
"TO",53.8322217234312
"AM",53.7327902179687
"MT",53.3095076085934
"GO",52.4279609452169
"AC",52.3204325054482
"PR",51.844330362962
"MS",51.6839446554106
"BA",51.0239409812468
"PA",50.8524363892517
"PE",50.4132641038469
"AP",49.5668458635175
"ES",48.0314073121223
"RR",47.7766870031489
"RS",46.2097491200252
"SC",44.3922036514399
"RJ",44.3368403161887
"SP",43.7594673947616
"DF",39.1424433854888
